uw_branch, 2018_gross ,zip,lat,long,city,county,state
CUMBERLAND TRAILS UNITED WAY," $42,694 ",40965,36.63434,-83.71669,Middlesboro,Bell,KY
HEART OF KENTUCKY UNITED WAY," $639,886 ",40422,37.63785,-84.80074,Danville,Boyle,KY
MAYFIELD-GRAVES COUNTY UNITED WAY," $39,110 ",42066,36.73285,-88.63942,Mayfield,Graves,KY
"METRO UNITED WAY, INC."," $34,039,391 ",40204,38.23918,-85.72084,Louisville,Jefferson,KY
TRI-COUNTY KENTUCKY UNITED WAY," $251,383 ",40004,37.80452,-85.46497,Bardstown,Nelson,KY
UNITED WAY OF CENTRAL KENTUCKY," $1,243,668 ",42701,37.70499,-85.8358,Elizabethtown,Hardin,KY
"UNITED WAY OF EASTERN KENTUCKY, INC."," $70,183 ",41653,37.66105,-82.76355,Prestonsburg,Floyd,KY
UNITED WAY OF FRANKLIN COUNTY," $571,965 ",40602,38.097,-85.64517,Frankfort,Franklin,KY
UNITED WAY OF GREATER CINCINNATI - NORTHERN KENTUCKY," $62,115,000 ",41017,39.02887,-84.56144,Ft Mitchell,Kenton,KY
UNITED WAY OF HENDERSON COUNTY," $539,990 ",42420,37.80343,-87.51678,Henderson,Henderson,KY
UNITED WAY OF KENTUCKY," $271,722 ",40204,38.23918,-85.72084,Louisville,Jefferson,KY
UNITED WAY OF LAUREL COUNTY," $118,728 ",40743,37.07403,-84.11838,London,Laurel,KY
UNITED WAY OF MASON COUNTY," $55,107 ",41056,38.60007,-83.77847,Maysville,Mason,KY
UNITED WAY OF MURRAY-CALLOWAY COUNTY," $185,067 ",42071,36.62034,-88.28387,Murray,Calloway,KY
UNITED WAY OF NORTHEAST KENTUCKY," $916,470 ",41105,37.0712,-84.01446,Ironville,Boyd,KY
UNITED WAY OF PADUCAH-MCCRACKEN COUNTY," $945,215 ",42001,37.03761,-88.71092,Paducah,McCracken,KY
UNITED WAY OF SOUTH CENTRAL KENTUCKY," $201,638 ",42502,37.3022,-87.13372,Somerset,Pulaski,KY
UNITED WAY OF SOUTHEASTERN KENTUCKY," $20,342 ",41701,37.2983,-83.19129,Hazard,Perry,KY
"UNITED WAY OF SOUTHERN KENTUCKY, INC."," $2,520,404 ",42102,37.0037,-86.41823,Bowling Green,Warren,KY
UNITED WAY OF THE BLUEGRASS," $5,926,089 ",40508,38.04996,-84.50114,Lexington,Fayette,KY
"UNITED WAY OF THE COALFIELD, INC."," $249,204 ",42431,37.3292,-87.47831,Madisonville,Hopkins,KY
UNITED WAY OF THE OHIO VALLEY," $1,690,987 ",42301,37.74038,-87.24615,Owensboro,Daviess,KY
UNITED WAY OF THE PENNYRILE," $688,697 ",42241,36.865564,-87.488606,Hopkinsville,Christian,KY
"MONROE COUNTY UNITED WAY FUND, INC."," $278,894 ",37874,35.5981,-84.45768,Sweetwater,Monroe,TN
